gid_1,country,perc_used_internet_past12months_wght_age_15_to_49_wom,perc_used_internet_past12months_wght_age_15_to_49_fm_ratio,hdi_national,gdi_national,subnational_gdi,subnational_hdi_females,subnational_hdi_males,nl_mean_zscore,pop_density_zscore,fb_pntr_18p_female,fb_pntr_18p_male
KHM.11_1,Cambodia,0.406664351841034,0.554361724884683,0.596,0.935,0.926,0.497,0.537,-0.26434073172113837,-0.26868756332133514,0.352691491566208,0.508294586386726
KHM.12_1,Cambodia,0.8070911841912379,0.89864532032948,0.596,0.935,0.956,0.605,0.633,-0.25525772573244515,0.02620065510759343,0.193637285997261,0.222215702190794
KHM.13_1,Cambodia,0.803932646974058,0.945187721731983,0.596,0.935,0.937,0.578,0.616,-0.15856346903684387,-0.20503135486627205,0.634404394325895,0.954040185324371
KHM.14_1,Cambodia,0.490343023670527,0.916300612312407,0.596,0.935,0.912,0.493,0.541,-0.26761448049519265,-0.29151588430855563,0.36697496467864,0.508145153229188
KHM.15_1,Cambodia,0.426225569413282,0.567340594155986,0.596,0.935,0.925,0.575,0.622,-0.2654510089035279,-0.13677537422858752,0.150673037321859,0.214814606286446
KHM.16_1,Cambodia,0.724653924046749,0.754863429003195,0.596,0.935,0.934,0.705,0.755,1.426903937007941,2.948159987862774,1,1
KHM.17_1,Cambodia,0.6855138852655079,1.01691054100728,0.596,0.935,0.932,0.542,0.582,-0.26499450551597087,-0.27032804155910306,0.496443133981623,0.786982293305087
KHM.18_1,Cambodia,0.41152339754505,0.575849111930974,0.596,0.935,0.926,0.497,0.537,-0.2678165012649556,-0.27705795859765225,0.253178375807757,0.406297935245221
KHM.19_1,Cambodia,0.7079443181114751,0.809657982824306,0.596,0.935,0.913,0.543,0.594,-0.26277992536530714,-0.12859775462984335,0.19908414746328,0.347989656512102
KHM.20_1,Cambodia,0.27063830100935,0.445021057742673,0.596,0.935,0.912,0.493,0.541,-0.26723355099422746,-0.2812447112572123,0.429108542587745,0.661751818385245
KHM.21_1,Cambodia,0.463169286519814,0.5571950638748,0.596,0.935,0.921,0.528,0.574,-0.25831659436960785,-0.20135270707496225,0.532043851021252,0.730037385430885
KHM.22_1,Cambodia,0.696775577656896,4.66494211543482,0.596,0.935,0.926,0.497,0.537,-0.26758485796003867,-0.28921941500894094,0.380399046587972,0.548287579300779
KHM.23_1,Cambodia,0.708939977981739,1.95061750556265,0.596,0.935,0.887,0.552,0.622,-0.23993861093912228,-0.15159996638605946,0.405596536700241,0.655488619252854
KHM.24_1,Cambodia,0.518253469984032,0.610275126766498,0.596,0.935,0.926,0.598,0.646,-0.2537576923350145,-0.07039398153375158,0.221841238991271,0.365030928178063
KHM.25_1,Cambodia,0.48726369996552,0.962739081684029,0.596,0.935,0.938,0.549,0.585,-0.25898110005664626,-0.12985962407836665,0.165952828423207,0.270964036880283
CMR.1_1,Cameroon,0.111058119377579,0.298692312273861,0.581,0.891,0.809,0.44,0.544,-0.2682218402023059,-0.28308297697907964,0.0722823368169025,0.16907950598106
CMR.2_1,Cameroon,0.41001293946733297,0.789449121274835,0.581,0.891,0.916,0.626,0.684,-0.2552849015397571,-0.23525296661668796,0.309214984073604,0.381836359875901
