_submission__uuid,gender,age_class,hh_size,age_u5,age_5_18,age_18plus,age_u5_count,age_5_18_count,age_18plus_count,hh_size_categorical,hh_size_categorical_crude,cooking_fuel,material_house,modern_fuel_type,manufactured_material_house,radio,bed,_id,health_zone
c25d45a8-30a8-4f72-a5c1-20025364fa36,m,"[25,35)",5,0,0,5,0,0,2+,"[4,7)","[0,6)",charcoal,earth,1,0,yes,yes,461072095,Kalemie
cffc7cf9-4a8b-40f1-a934-0eb8261815dc,f,"[25,35)",7,2,3,2,2+,2+,2+,"[7,10)",7+,charcoal,earth,1,0,yes,yes,461072108,Kalemie
cffc7cf9-4a8b-40f1-a934-0eb8261815dc,m,"[35,45)",7,2,3,2,2+,2+,2+,"[7,10)",7+,charcoal,earth,1,0,yes,yes,461072108,Kalemie
303ccdac-ca14-4e45-b8ac-e81d90fc8ec9,f,"[35,45)",14,3,6,5,2+,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072122,Kalemie
303ccdac-ca14-4e45-b8ac-e81d90fc8ec9,f,"[25,35)",14,3,6,5,2+,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072122,Kalemie
303ccdac-ca14-4e45-b8ac-e81d90fc8ec9,f,"[18,25)",14,3,6,5,2+,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072122,Kalemie
303ccdac-ca14-4e45-b8ac-e81d90fc8ec9,m,"[25,35)",14,3,6,5,2+,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072122,Kalemie
303ccdac-ca14-4e45-b8ac-e81d90fc8ec9,m,"[18,25)",14,3,6,5,2+,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072122,Kalemie
10d30b59-2d0f-4696-ab83-bf148b71405f,f,"[35,45)",10,0,6,4,0,2+,2+,10+,7+,charcoal,earth,1,0,no,no,461072346,Kalemie
10d30b59-2d0f-4696-ab83-bf148b71405f,m,"[55,65)",10,0,6,4,0,2+,2+,10+,7+,charcoal,earth,1,0,no,no,461072346,Kalemie
10d30b59-2d0f-4696-ab83-bf148b71405f,f,"[18,25)",10,0,6,4,0,2+,2+,10+,7+,charcoal,earth,1,0,no,no,461072346,Kalemie
10d30b59-2d0f-4696-ab83-bf148b71405f,f,"[35,45)",10,0,6,4,0,2+,2+,10+,7+,charcoal,earth,1,0,no,no,461072346,Kalemie
bd2857b3-1eaf-41a3-b04f-249963b5e225,f,"[35,45)",10,0,5,5,0,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072357,Kalemie
bd2857b3-1eaf-41a3-b04f-249963b5e225,m,"[55,65)",10,0,5,5,0,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072357,Kalemie
bd2857b3-1eaf-41a3-b04f-249963b5e225,m,"[18,25)",10,0,5,5,0,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072357,Kalemie
